library,scenario,method,stratum,n,truth_in_library_n,top1_correct_k,truth_set_covered_k,set_coverage,set_coverage_low95,set_coverage_high95,mean_set_size,median_set_size,empty_k,singleton_k,multiple_k,unique_k,unique_rate,unique_rate_low95,unique_rate_high95,correct_unique_k,wrong_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_accuracy,selective_error,selective_error_low95,selective_error_high95,rejected_k,low_confidence_k,ambiguous_k,domain_rejected_k,mean_decision_time_s
scale_large,in_domain,M2_class_conditional,class_019,50,50,26,47,0.94,0.837829083111618,0.979385029651026,12.48,14,0,3,47,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,3,47,0,0.00015184
scale_large,in_domain,M2_class_conditional,class_020,50,50,50,46,0.92,0.811617530816572,0.968450485911407,10.86,13,4,0,46,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,4,46,0,1,0.00014552
scale_large,in_domain,M2_class_conditional,class_021,50,50,16,45,0.9,0.786397685625204,0.95652423506811,13.14,16,2,3,45,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,3,45,0,0.00015354
scale_large,in_domain,M2_class_conditional,class_022,50,50,21,47,0.94,0.837829083111618,0.979385029651026,9.6,11,3,0,47,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,3,1,46,3,0.00014494
scale_large,in_domain,M2_class_conditional,class_023,50,50,13,44,0.88,0.76195182616797,0.943823998490677,11.06,13,1,1,48,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,1,48,1,0.0001469
scale_large,in_domain,M3_pooled_empirical,all,1150,1150,753,1086,0.944347826086957,0.929558370002446,0.95617856741403,11.3495652173913,13,64,63,1023,57,0.0495652173913043,0.0384519030969534,0.0636777767822358,57,0,0,0,0.00332927785817331,1,0,0,0.0631388348529789,74,45,974,11,9.16939130434782e-05
scale_large,in_domain,M3_pooled_empirical,class_001,50,50,50,24,0.48,0.34797135286578,0.614882551099554,0.48,0,26,24,0,24,0.48,0.34797135286578,0.614882551099554,24,0,0,6.93889390390723e-18,0.0713475991333587,1,0,1.38777878078145e-17,0.13797620467498,26,0,0,0,8.258e-05
scale_large,in_domain,M3_pooled_empirical,class_002,50,50,38,45,0.9,0.786397685625204,0.95652423506811,3.04,4,5,0,45,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,5,0,45,0,8.58e-05
scale_large,in_domain,M3_pooled_empirical,class_003,50,50,30,50,1,0.928652400866641,1,9.42,11,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,8.624e-05
scale_large,in_domain,M3_pooled_empirical,class_004,50,50,50,33,0.66,0.521538260502326,0.775630507774999,1.06,1,17,13,20,11,0.22,0.127539159702144,0.352415495812537,11,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.258832966968032,17,22,0,0,8.344e-05
scale_large,in_domain,M3_pooled_empirical,class_005,50,50,21,50,1,0.928652400866641,1,11.94,12,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,9.122e-05
scale_large,in_domain,M3_pooled_empirical,class_006,50,50,28,50,1,0.928652400866641,1,17.26,18,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,0.00010856
scale_large,in_domain,M3_pooled_empirical,class_007,50,50,50,45,0.9,0.786397685625204,0.95652423506811,1.6,1,5,26,19,22,0.44,0.311621992112572,0.576939719783432,22,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.148654874608621,5,23,0,1,8.616e-05
scale_large,in_domain,M3_pooled_empirical,class_008,50,50,38,50,1,0.928652400866641,1,16.12,16,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,8.946e-05
scale_large,in_domain,M3_pooled_empirical,class_009,50,50,30,50,1,0.928652400866641,1,14.44,15,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,0,48,2,9.37e-05
scale_large,in_domain,M3_pooled_empirical,class_010,50,50,17,39,0.78,0.647584504187463,0.872460840297856,2.72,4,11,0,39,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,11,0,39,0,9.844e-05
scale_large,in_domain,M3_pooled_empirical,class_011,50,50,50,50,1,0.928652400866641,1,10.68,12,0,0,50,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,0,50,0,9.234e-05
