stage,artifact,metric,canonical_value,reproduced_value,absolute_error,tolerance,match,notes
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.domain_accepted,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.candidate_set_size,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.best_candidate,G003,G003,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.best_is_truth,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.true_topology_in_candidate_set,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.margin,0.0789430584415184,0.0789430584415184,0E-16,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.top1_confidence,0.559500869559627,0.559500869559627,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.normalized_entropy,0.743523420848108,0.743523420848108,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.decision_state,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.decision_reason,singleton_and_all_evidence_checks_pass,singleton_and_all_evidence_checks_pass,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_8.normalized_score_semantics,not_a_Bayesian_posterior,not_a_Bayesian_posterior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_9.sample,existing_library_snr_15_r03,existing_library_snr_15_r03,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_9.method,existing_library,existing_library,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_9.snr_db,15,15,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_9.replicate,3,3,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_9.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_9.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_9.domain_relative_distance,0.227566740060224,0.227566740060224,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_9.domain_threshold,0.337776739609905,0.337776739609905,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_9.domain_accepted,1,1,0,0,true,ordered row and column comparison
