scenario,feature,sample_count,strict_accuracy,group_accuracy,numeric_tie_rate,mean_distance_gap,group_intra_distance,group_inter_distance,intra_inter_ratio,d_intra_ge_inter,sample_d_intra_ge_inter_rate
all_line_length_-1percent,amplitude_db_standardized,6,0.66666666666666663,1,0.33333333333333331,0.2400289124357593,0.22813008191818376,0.53406610778106078,0.42715701032971221,0,0
all_line_length_-1percent,phase,6,0.83333333333333337,1,0.33333333333333331,0.056759490887255952,0.11005981712080298,0.17785668015267056,0.61881182661415157,0,0
all_line_length_-1percent,phase_masked,6,0.83333333333333337,1,0.33333333333333331,0.055839397941269291,0.11029161794252491,0.17716838802840584,0.62252425034674685,0,0
all_line_length_-1percent,phase_weighted,6,0.83333333333333337,1,0.33333333333333331,0.040983372815057095,0.10581739484328849,0.15748946105543082,0.67190143476358988,0,0
all_line_length_-1percent,complex,6,0.83333333333333337,1,0.33333333333333331,0.0023690579608144509,0.008421156040964467,0.012025772926574736,0.70025902637453497,0,0
all_line_length_-1percent,cir,6,0.83333333333333337,1,0.33333333333333331,0.0015674217071463133,0.0055716250915770005,0.0079565202042779556,0.70025902637453541,0,0
all_line_length_-1percent,amp_phase_joint,6,0.83333333333333337,1,0.33333333333333331,0.040197272436474661,0.077837058863904365,0.12589053954500826,0.61829156619093006,0,0
all_line_length_+1percent,amplitude,6,0.66666666666666663,1,0.33333333333333331,0.0025659907649418249,0.0019885878774723686,0.0056508549502715987,0.35190920577014467,0,0
all_line_length_+1percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,2.3832804911501504,1.038187022067532,4.2425445407165689,0.2447085733818086,0,0
all_line_length_+1percent,amplitude_db_standardized,6,0.83333333333333337,1,0.33333333333333331,0.2355109384579798,0.22588095503966568,0.53102864594233223,0.42536491536879451,0,0
all_line_length_+1percent,phase,6,0.83333333333333337,1,0.33333333333333331,0.063849992886266832,0.10953616350191331,0.21052982239278265,0.52028811052504076,0,0
all_line_length_+1percent,phase_masked,6,0.83333333333333337,1,0.33333333333333331,0.063254452962224927,0.10975865477667092,0.21015677374349839,0.52227036426926743,0,0
