experiment,noise_mode,view_kind,snr_db,trial,true_id,method,predicted_id,correct,group_correct,nmse,amplitude_rmse_db,weighted_phase_rmse_deg,intra_distance,inter_distance,length_error_m,main_length_error_m,branch_length_error_m,load_relative_error,Zs_error_ohm,Zr_error_ohm
noise_only,fixed_received_snr,three_view_complete,10,20,T4,joint,T4,1,1,0.098025925180606474,4.1260321038179377,22.536093249095334,0.084353780027866518,0.14578728122987508,0,0,0,-0.19999999999999996,0,0
noise_only,fixed_received_snr,three_view_complete,10,20,T4,single_feature,T4,1,1,0.098025925180606474,4.1260321038179377,22.536093249095334,0.004966965112319038,0.0058576535394130142,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,20,T5,oracle,T5,1,1,0.098362571760879869,3.1010619588341073,18.670265828902387,0.074365712675038137,0.10222311360460512,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,20,T5,joint,T5,1,1,0.098362571760879869,3.1010619588341073,18.670265828902387,0.073355847526638124,0.10090335122767477,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,20,T5,single_feature,T5,1,1,0.098362571760879869,3.1010619588341073,18.670265828902387,0.0048554622576994248,0.0065405041554132595,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,1,T2,oracle,T2,1,1,1.0154379390486177,6.2250745410646502,51.622357621065653,0.20304610909650878,0.24000873453575428,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,1,T2,joint,T2,1,1,1.0154379390486177,6.2250745410646502,51.622357621065653,0.20189358379696784,0.23943388020044748,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,1,T2,single_feature,T2,1,1,1.0154379390486177,6.2250745410646502,51.622357621065653,0.011199038135209066,0.012366221777748836,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,1,T3,oracle,T3,1,1,1.0012096034574276,6.1002786037050276,56.283215274387892,0.22291542891568472,0.23726822802958838,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,1,T3,joint,T3,1,1,1.0012096034574276,6.1002786037050276,56.283215274387892,0.22061284257765984,0.2360968357008689,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,1,T3,single_feature,T3,1,1,1.0012096034574276,6.1002786037050276,56.283215274387892,0.010903779423758675,0.012101400047710719,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,1,T4,oracle,T4,1,1,0.98503640503281253,8.106227437410146,57.312675195355723,0.22697108018159443,0.26069727056847225,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,1,T4,joint,T4,1,1,0.98503640503281253,8.106227437410146,57.312675195355723,0.22623258120086967,0.25445318032665432,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,1,T4,single_feature,T5,0,0,0.98503640503281253,8.106227437410146,57.312675195355723,0.011755925195939376,0.011049111240306234,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,1,T5,oracle,T5,1,1,0.98125439269270487,6.3348405564985697,82.419962548046897,0.35025960628210406,0.35262360348291083,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,1,T5,joint,T4,0,0,0.98125439269270487,6.3348405564985697,82.419962548046897,0.34855268156609059,0.33065813328359539,0.95524865872714082,1.0000000000000009,0.75000000000000067,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,1,T5,single_feature,T5,1,1,0.98125439269270487,6.3348405564985697,82.419962548046897,0.010937257163915316,0.011468239807422505,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,2,T2,oracle,T2,1,1,0.99412874714247046,6.0873489746519667,74.54324454475281,0.30135136641054128,0.33589734023328477,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,2,T2,joint,T3,0,0,0.99412874714247046,6.0873489746519667,74.54324454475281,0.29910191416513476,0.28598957073716519,0.89442719099991663,1.0000000000000009,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,2,T2,single_feature,T2,1,1,0.99412874714247046,6.0873489746519667,74.54324454475281,0.010797264905747806,0.012306474034063816,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,2,T3,oracle,T3,1,1,1.000989661302863,6.1025595248622961,67.706762162402995,0.27157566093893726,0.2749375558273911,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,2,T3,joint,T3,1,1,1.000989661302863,6.1025595248622961,67.706762162402995,0.26675266002837383,0.26529516145400711,0.33541019662496874,0,0.75000000000000067,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,2,T3,single_feature,T3,1,1,1.000989661302863,6.1025595248622961,67.706762162402995,0.011001699502183772,0.012149603872560682,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,2,T4,oracle,T4,1,1,1.0154194745277554,8.2077824109519089,75.018536157213234,0.31998655983346525,0.33200640717162855,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,2,T4,joint,T4,1,1,1.0154194745277554,8.2077824109519089,75.018536157213234,0.3143579237345534,0.32927285985684723,0.43301270189221969,0,0.75000000000000067,-0.19999999999999996,0,0
noise_only,fixed_received_snr,three_view_complete,0,2,T4,single_feature,T5,0,0,1.0154194745277554,8.2077824109519089,75.018536157213234,0.011730636181131515,0.01093410670517486,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,2,T5,oracle,T5,1,1,1.0043895434595123,6.4048854535360391,69.899886001209836,0.28127495753149395,0.29555008909796948,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,2,T5,joint,T5,1,1,1.0043895434595123,6.4048854535360391,69.899886001209836,0.27259003446862851,0.27313018835230746,0.33541019662496874,0,0.75000000000000067,0.19999999999999996,0,0
noise_only,fixed_received_snr,three_view_complete,0,2,T5,single_feature,T5,1,1,1.0043895434595123,6.4048854535360391,69.899886001209836,0.011159343977470565,0.011657586159290165,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,3,T2,oracle,T3,0,0,0.99959443886872368,6.1326574899802653,89.186557374033498,0.36232875491883576,0.36103697289677994,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,3,T2,joint,T3,0,0,0.99959443886872368,6.1326574899802653,89.186557374033498,0.36029798748001923,0.35136513461083019,0.95524865872714082,1.0000000000000009,0.75000000000000067,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,3,T2,single_feature,T2,1,1,0.99959443886872368,6.1326574899802653,89.186557374033498,0.010874295033123147,0.012136880297952273,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,3,T3,oracle,T4,0,0,1.0207568296029494,6.2773344808958456,77.733423838508727,0.30635669372291446,0.29268758064508554,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,3,T3,joint,T4,0,0,1.0207568296029494,6.2773344808958456,77.733423838508727,0.30423700089482797,0.28899228323610754,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,3,T3,single_feature,T3,1,1,1.0207568296029494,6.2773344808958456,77.733423838508727,0.011240706405775664,0.012113643659860184,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,0,3,T4,oracle,T4,1,1,1.0006016369252992,8.1093592080611163,77.286991609000495,0.33573305039814327,0.3448641550218996,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,0,3,T4,joint,T4,1,1,1.0006016369252992,8.1093592080611163,77.286991609000495,0.31653657769570515,0.34262669651202882,0.92421137553411892,1.0000000000000009,0.75000000000000067,-0.19999999999999996,0,0
noise_only,fixed_received_snr,three_view_complete,0,3,T4,single_feature,T5,0,0,1.0006016369252992,8.1093592080611163,77.286991609000495,0.011465218145192911,0.010786868036507134,NaN,NaN,NaN,NaN,NaN,NaN
