sample,error_type,prior_error_rate,prior_error_applied,candidate_count,generation_time,coverage,false_unique,decision_state,best_is_truth,candidate_set_size,distance,margin,confidence,entropy
wrong_open_rate_05_r08,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0650362892679468,0.064892373859089,0.552770169156893,0.741648982316276
wrong_open_rate_05_r09,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0246958340399947,0.0988317424883561,0.760221699605456,0.492062741109346
wrong_open_rate_05_r10,wrong_open,5,0,7,0.264442,1,0,REJECTED,1,0,0.0927219811887122,0.0479300834449287,0.437293433477929,0.842561381071809
wrong_open_rate_05_r11,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0369573311219814,0.0941320314414646,0.727347643740166,0.539764646272359
wrong_open_rate_05_r12,wrong_open,5,0,7,0.264442,1,0,REJECTED,1,0,0.0867410806663022,0.0559103702629351,0.484538902930934,0.805158992860752
wrong_open_rate_05_r13,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0715554833682751,0.0708864467629487,0.572943670789252,0.723930953622438
wrong_open_rate_05_r14,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0410062624473896,0.0889344590014172,0.700893009852942,0.574729480566509
wrong_open_rate_05_r15,wrong_open,5,0,7,0.264442,1,0,LOW_CONFIDENCE,1,1,0.0829808810859848,0.0563336969647637,0.495804055242755,0.796399283660271
wrong_open_rate_05_r16,wrong_open,5,0,7,0.264442,1,0,REJECTED,1,0,0.0986684095653888,0.0520686332426559,0.455561060098299,0.829697335490749
wrong_open_rate_05_r17,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0399685261249149,0.0884425685053114,0.69735673903812,0.57848396529992
wrong_open_rate_05_r18,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0351285549966495,0.095862281572406,0.724897958792209,0.542876822288076
wrong_open_rate_05_r19,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0487276305362429,0.0807962175343436,0.653348167012062,0.6333091505267
wrong_open_rate_05_r20,wrong_open,5,0,7,0.264442,1,0,REJECTED,1,0,0.085066996130019,0.0561408027155389,0.488602841372184,0.802194158075126
